x,y,z
690998.542128955,5335867.575122598,-24
690998.6727321114,5335867.913839176,-24
690998.8054551559,5335868.258051165,-24
690998.9401918183,5335868.60748308,-24
690999.0768358278,5335868.961859433,-24
690999.2152809143,5335869.320904739,-24
690999.3554208073,5335869.684343512,-24
690999.4971492365,5335870.051900267,-24
690999.6403599314,5335870.423299517,-24
690999.7849466217,5335870.798265775,-24
690999.930803037,5335871.176523555,-24
691000.0778229067,5335871.557797374,-24
691000.2258999606,5335871.941811742,-24
691000.3749279282,5335872.328291177,-24
691000.519645953,5335872.703592665,-24
691000.659635635,5335873.066631336,-24
691000.8001813559,5335873.431111434,-24
691000.9411976999,5335873.796811532,-24
691001.0825992506,5335874.163510208,-24
691001.2243005923,5335874.530986035,-24
691001.3662163091,5335874.899017589,-24
691001.5082609849,5335875.267383444,-24
691001.6503492037,5335875.635862178,-24
691001.7923955497,5335876.004232364,-24
691001.9343146068,5335876.372272577,-24
691002.0760209592,5335876.739761392,-24
691002.2174291906,5335877.106477385,-24
691002.3584538853,5335877.472199134,-24
691002.4990096273,5335877.836705209,-24
691002.6471416175,5335878.220859533,-24
691002.7949201108,5335878.60409786,-24
691002.9418709953,5335878.985190767,-24
691003.087892291,5335879.36387389,-24
691003.2328820174,5335879.739882864,-24
691003.3767381941,5335880.112953323,-24
691003.5193588407,5335880.482820903,-24
691003.6606419769,5335880.849221239,-24
691003.8004856223,5335881.211889966,-24
691003.9387877968,5335881.570562719,-24
691004.0754465194,5335881.9249751335,-24
691004.2103598106,5335882.274862845,-24
691004.3434256895,5335882.619961489,-24
691004.4827348792,5335882.981254215,-24
691004.6428203303,5335883.396432729,-24
691004.7995241772,5335883.802845074,-24
691004.9526500297,5335884.19998214,-24
691005.102001497,5335884.587334823,-24
691005.2473821889,5335884.964394017,-24
691005.3885957149,5335885.330650619,-24
691005.5254456847,5335885.685595521,-24
691005.6577357074,5335886.02871962,-24
691005.785269393,5335886.35951381,-24
691005.907850351,5335886.677468985,-24
691006.0546754044,5335887.058320616,-24
691006.2745172221,5335887.6286008535,-24
691006.4702365282,5335888.136348017,-24
691006.6401661527,5335888.577240285,-24
691006.7127088214,5335888.765497092,-24
691006.7533027411,5335888.8709222395,-24
691006.8854893332,5335889.214787527,-24
691007.0220166874,5335889.570810778,-24
691007.1589113625,5335889.927269685,-24
691007.2963200351,5335890.2828816,-24
691007.3881210224,5335890.519482281,-24
691007.518058561,5335890.853646746,-24
691007.698069036,5335891.31585429,-24
691007.8647167755,5335891.743252533,-24
691007.9971438913,5335892.082629275,-24
691008.1365751995,5335892.439751352,-24
691008.2821254572,5335892.81234814,-24
691008.4329094216,5335893.198149012,-24
691008.5860394594,5335893.589763652,-24
691008.7261390549,5335893.947893902,-24
691008.8683444571,5335894.311253175,-24
691009.0120430316,5335894.678270075,-24
691009.1566221436,5335895.04737321,-24
691009.3014691579,5335895.416991185,-24
691009.4464110085,5335895.786673471,-24
691009.5960813237,5335896.168217238,-24
691009.7440133641,5335896.545114941,-24
691009.889512188,5335896.915584069,-24
691010.031882854,5335897.277842114,-24
691010.1704304201,5335897.6301065665,-24
691010.3147891288,5335897.996821996,-24
691010.4781594041,5335898.411351395,-24
691010.631430006,5335898.799667949,-24
691010.773141156,5335899.158027359,-24
691010.9018330756,5335899.482685328,-24
691011.0348180243,5335899.816895679,-24
691011.1778072726,5335900.174497619,-24
691011.3260136604,5335900.543376912,-24
691011.4695469234,5335900.899216842,-24
691011.6186066916,5335901.267864903,-24
691011.7647876488,5335901.629369529,-24
691011.9106639677,5335901.991230579,-24
691012.0654500586,5335902.377819985,-24
691012.2037691177,5335902.725747672,-24
691012.3461341728,5335903.085793409,-24
691012.4897787995,5335903.449524285,-24
691012.6321271629,5335903.808938364,-24
691012.7277942451,5335904.049753705,-24
691012.8937594165,5335904.465890607,-24
691013.0715486734,5335904.90993419,-24
691013.2076124003,5335905.249040116,-24
691013.3508610501,5335905.605683611,-24
691013.5014632593,5335905.980461354,-24
691013.6557993771,5335906.364541028,-24
691013.7926763312,5335906.70530344,-24
691013.9349413776,5335907.059702476,-24
691014.0826908387,5335907.428078951,-24
691014.2360210367,5335907.810773681,-24
691014.3834780046,5335908.179245891,-24
691014.5212070219,5335908.523827882,-24
691014.6630651794,5335908.879187002,-24
691014.8091096337,5335909.245525486,-24
691014.9593975416,5335909.623045572,-24
691015.1139860604,5335910.0119494945,-24
691015.235223555,5335910.3173687905,-24
691015.3531136214,5335910.61471037,-24
691015.4733648563,5335910.918369548,-24
691015.595999402,5335911.22842467,-24
691015.7210394004,5335911.544954082,-24
691015.8485069937,5335911.868036127,-24
691015.9784243238,5335912.197749151,-24
691016.2630609449,5335912.921409945,-24
691016.3762521413,5335913.209592133,-24
691016.4922630037,5335913.505160562,-24
